zip-code,zip-name,municipality-code,municipality-name,region-code,region-name,province-name,municipality-type
1000,København K,101,København,1084,Hovedstaden,København By,Bykommune
1050,København K,101,København,1084,Hovedstaden,København By,Bykommune
1051,København K,101,København,1084,Hovedstaden,København By,Bykommune
1052,København K,101,København,1084,Hovedstaden,København By,Bykommune
1053,København K,101,København,1084,Hovedstaden,København By,Bykommune
1054,København K,101,København,1084,Hovedstaden,København By,Bykommune
1055,København K,101,København,1084,Hovedstaden,København By,Bykommune
1056,København K,101,København,1084,Hovedstaden,København By,Bykommune
1057,København K,101,København,1084,Hovedstaden,København By,Bykommune
1058,København K,101,København,1084,Hovedstaden,København By,Bykommune
1059,København K,101,København,1084,Hovedstaden,København By,Bykommune
1060,København K,101,København,1084,Hovedstaden,København By,Bykommune
1061,København K,101,København,1084,Hovedstaden,København By,Bykommune
1062,København K,101,København,1084,Hovedstaden,København By,Bykommune
1063,København K,101,København,1084,Hovedstaden,København By,Bykommune
1064,København K,101,København,1084,Hovedstaden,København By,Bykommune
1065,København K,101,København,1084,Hovedstaden,København By,Bykommune
1066,København K,101,København,1084,Hovedstaden,København By,Bykommune
1067,København K,101,København,1084,Hovedstaden,København By,Bykommune
1068,København K,101,København,1084,Hovedstaden,København By,Bykommune
1069,København K,101,København,1084,Hovedstaden,København By,Bykommune
1070,København K,101,København,1084,Hovedstaden,København By,Bykommune
1071,København K,101,København,1084,Hovedstaden,København By,Bykommune
1072,København K,101,København,1084,Hovedstaden,København By,Bykommune
1073,København K,101,København,1084,Hovedstaden,København By,Bykommune
1074,København K,101,København,1084,Hovedstaden,København By,Bykommune
1092,København K,101,København,1084,Hovedstaden,København By,Bykommune
1093,København K,101,København,1084,Hovedstaden,København By,Bykommune
1094,København K,101,København,1084,Hovedstaden,København By,Bykommune
1095,København K,101,København,1084,Hovedstaden,København By,Bykommune
1096,København K,101,København,1084,Hovedstaden,København By,Bykommune
1097,København K,101,København,1084,Hovedstaden,København By,Bykommune
1098,København K,101,København,1084,Hovedstaden,København By,Bykommune
1100,København K,101,København,1084,Hovedstaden,København By,Bykommune
1101,København K,101,København,1084,Hovedstaden,København By,Bykommune
1102,København K,101,København,1084,Hovedstaden,København By,Bykommune
1103,København K,101,København,1084,Hovedstaden,København By,Bykommune
1104,København K,101,København,1084,Hovedstaden,København By,Bykommune
1105,København K,101,København,1084,Hovedstaden,København By,Bykommune
1106,København K,101,København,1084,Hovedstaden,København By,Bykommune
1107,København K,101,København,1084,Hovedstaden,København By,Bykommune
1108,København K,101,København,1084,Hovedstaden,København By,Bykommune
1109,København K,101,København,1084,Hovedstaden,København By,Bykommune
1110,København K,101,København,1084,Hovedstaden,København By,Bykommune
1111,København K,101,København,1084,Hovedstaden,København By,Bykommune
1112,København K,101,København,1084,Hovedstaden,København By,Bykommune
1113,København K,101,København,1084,Hovedstaden,København By,Bykommune
1114,København K,101,København,1084,Hovedstaden,København By,Bykommune
1115,København K,101,København,1084,Hovedstaden,København By,Bykommune
1116,København K,101,København,1084,Hovedstaden,København By,Bykommune
1117,København K,101,København,1084,Hovedstaden,København By,Bykommune
1118,København K,101,København,1084,Hovedstaden,København By,Bykommune
1119,København K,101,København,1084,Hovedstaden,København By,Bykommune
1120,København K,101,København,1084,Hovedstaden,København By,Bykommune
1121,København K,101,København,1084,Hovedstaden,København By,Bykommune
1122,København K,101,København,1084,Hovedstaden,København By,Bykommune
1123,København K,101,København,1084,Hovedstaden,København By,Bykommune
1124,København K,101,København,1084,Hovedstaden,København By,Bykommune
1125,København K,101,København,1084,Hovedstaden,København By,Bykommune
1126,København K,101,København,1084,Hovedstaden,København By,Bykommune
1127,København K,101,København,1084,Hovedstaden,København By,Bykommune
1128,København K,101,København,1084,Hovedstaden,København By,Bykommune
1129,København K,101,København,1084,Hovedstaden,København By,Bykommune
1130,København K,101,København,1084,Hovedstaden,København By,Bykommune
1131,København K,101,København,1084,Hovedstaden,København By,Bykommune
1140,København K,101,København,1084,Hovedstaden,København By,Bykommune
1145,København K,101,København,1084,Hovedstaden,København By,Bykommune
1146,København K,101,København,1084,Hovedstaden,København By,Bykommune
1147,København K,101,København,1084,Hovedstaden,København By,Bykommune
1148,København K,101,København,1084,Hovedstaden,København By,Bykommune
1149,København K,101,København,1084,Hovedstaden,København By,Bykommune
1150,København K,101,København,1084,Hovedstaden,København By,Bykommune
1151,København K,101,København,1084,Hovedstaden,København By,Bykommune
1152,København K,101,København,1084,Hovedstaden,København By,Bykommune
1153,København K,101,København,1084,Hovedstaden,København By,Bykommune
1154,København K,101,København,1084,Hovedstaden,København By,Bykommune
1156,København K,101,København,1084,Hovedstaden,København By,Bykommune
1157,København K,101,København,1084,Hovedstaden,København By,Bykommune
1158,København K,101,København,1084,Hovedstaden,København By,Bykommune
1159,København K,101,København,1084,Hovedstaden,København By,Bykommune
1160,København K,101,København,1084,Hovedstaden,København By,Bykommune
1161,København K,101,København,1084,Hovedstaden,København By,Bykommune
1162,København K,101,København,1084,Hovedstaden,København By,Bykommune
1163,København K,101,København,1084,Hovedstaden,København By,Bykommune
1164,København K,101,København,1084,Hovedstaden,København By,Bykommune
1165,København K,101,København,1084,Hovedstaden,København By,Bykommune
1166,København K,101,København,1084,Hovedstaden,København By,Bykommune
1167,København K,101,København,1084,Hovedstaden,København By,Bykommune
1168,København K,101,København,1084,Hovedstaden,København By,Bykommune
1169,København K,101,København,1084,Hovedstaden,København By,Bykommune
1170,København K,101,København,1084,Hovedstaden,København By,Bykommune
1171,København K,101,København,1084,Hovedstaden,København By,Bykommune
1172,København K,101,København,1084,Hovedstaden,København By,Bykommune
1173,København K,101,København,1084,Hovedstaden,København By,Bykommune
1174,København K,101,København,1084,Hovedstaden,København By,Bykommune
